1s+PRES+kuacha	I leave	ninaacha
2p+PERF+kunywa	you have drunk	mmekunywa
NEG+2p+PRES+kunywa	you do not drink	hamnywi
NEG+2p+PAST+kunywa	you did not drink	hamkunywa
NEG+2p+FUT+kunywa	you will not drink	hamtakunywa
NEG+2p+PERF+kunywa	you have not drunk	hamjanywa
3s+PRES+kunywa	(s)he drinks	anakunywa
3s+PAST+kunywa	(s)he drank	alikunywa
3s+FUT+kunywa	(s)he will drink	atakunywa
3s+PERF+kunywa	(s)he has drunk	amekunywa
NEG+3s+PRES+kunywa	(s)he does not drink	hanywi
NEG+3s+PAST+kunywa	(s)he did not drink	hakunywa
NEG+3s+FUT+kunywa	(s)he will not drink	hatakunywa
NEG+3s+PERF+kunywa	(s)he has not drunk	hajanywa
3p+PRES+kunywa	they drink	wanakunywa
3p+PAST+kunywa	they drank	walikunywa
3p+FUT+kunywa	they will drink	watakunywa
3p+PERF+kunywa	they have drunk	wamekunywa
NEG+3p+PRES+kunywa	they do not drink	hawanywi
NEG+3p+PAST+kunywa	they did not drink	hawakunywa
NEG+3p+FUT+kunywa	they will not drink	hawatakunywa
NEG+3p+PERF+kunywa	they have not drunk	hawajanywa
2s+IMP+kunywa	drink	kunywa
2p+IMP+kunywa	drink	kunyweni
1s+PRES+kuogelea	I swim	ninaogelea
1s+PAST+kuogelea	I swam	niliogelea
1s+FUT+kuogelea	I will swim	nitaogelea
1s+PERF+kuogelea	I have swum	nimeogelea
NEG+1s+PRES+kuogelea	I do not swim	siogelei
NEG+1s+PAST+kuogelea	I did not swim	sikuogelea
NEG+1s+FUT+kuogelea	I will not swim	sitaogelea
NEG+1s+PERF+kuogelea	I have not swum	sijaogelea
1p+PRES+kuogelea	we swim	tunaogelea
1p+PAST+kuogelea	we swam	tuliogelea
1p+FUT+kuogelea	we will swim	tutaogelea
1p+PERF+kuogelea	we have swum	tumeogelea
NEG+1p+PRES+kuogelea	we do not swim	hatuogelei
NEG+1p+PAST+kuogelea	we did not swim	hatukuogelea
NEG+1p+FUT+kuogelea	we will not swim	hatutaogelea
NEG+1p+PERF+kuogelea	we have not swum	hatujaogelea
2s+PRES+kuogelea	you swim	unaogelea
2s+PAST+kuogelea	you swam	uliogelea
2s+FUT+kuogelea	you will swim	utaogelea
2s+PERF+kuogelea	you have swum	umeogelea
NEG+2s+PRES+kuogelea	you do not swim	huogelei
NEG+2s+PAST+kuogelea	you did not swim	hukuogelea
NEG+2s+FUT+kuogelea	you will not swim	hutaogelea
NEG+2s+PERF+kuogelea	you have not swum	hujaogelea
2p+PRES+kuogelea	you swim	mnaogelea
2p+PAST+kuogelea	you swam	mliogelea
2p+FUT+kuogelea	you will swim	mtaogelea
2p+PERF+kuogelea	you have swum	mmeogelea
NEG+2p+PRES+kuogelea	you do not swim	hamogelei
NEG+2p+PAST+kuogelea	you did not swim	hamkuogelea
NEG+2p+FUT+kuogelea	you will not swim	hamtaogelea
NEG+2p+PERF+kuogelea	you have not swum	hamjaogelea
3s+PRES+kuogelea	(s)he swims	anaogelea
3s+PAST+kuogelea	(s)he swam	aliogelea
3s+FUT+kuogelea	(s)he will swim	ataogelea
3s+PERF+kuogelea	(s)he has swum	ameogelea
NEG+3s+PRES+kuogelea	(s)he does not swim	haogelei
NEG+3s+PAST+kuogelea	(s)he did not swim	hakuogelea
NEG+3s+FUT+kuogelea	(s)he will not swim	hataogelea
NEG+3s+PERF+kuogelea	(s)he has not swum	hajaogelea
3p+PRES+kuogelea	they swim	wanaogelea
3p+PAST+kuogelea	they swam	waliogelea
3p+FUT+kuogelea	they will swim	wataogelea
3p+PERF+kuogelea	they have swum	wameogelea
NEG+3p+PRES+kuogelea	they do not swim	hawaogelei
NEG+3p+PAST+kuogelea	they did not swim	hawakuogelea
NEG+3p+FUT+kuogelea	they will not swim	hawataogelea
NEG+3p+PERF+kuogelea	they have not swum	hawajaogelea
2s+IMP+kuogelea	swim	ogelea
2p+IMP+kuogelea	swim	ogeleeni
1s+PRES+kuogopa	I fear	ninaogopa
1s+PAST+kuogopa	I feared	niliogopa
1s+FUT+kuogopa	I will fear	nitaogopa
1s+PERF+kuogopa	I have feared	nimeogopa
NEG+1s+PRES+kuogopa	I do not fear	siogopi
NEG+1s+PAST+kuogopa	I did not fear	sikuogopa
NEG+1s+FUT+kuogopa	I will not fear	sitaogopa
NEG+1s+PERF+kuogopa	I have not feared	sijaogopa
1p+PRES+kuogopa	we fear	tunaogopa
1p+PAST+kuogopa	we feared	tuliogopa
1p+FUT+kuogopa	we will fear	tutaogopa
1p+PERF+kuogopa	we have feared	tumeogopa
NEG+1p+PRES+kuogopa	we do not fear	hatuogopi
NEG+1p+PAST+kuogopa	we did not fear	hatukuogopa
NEG+1p+FUT+kuogopa	we will not fear	hatutaogopa
NEG+1p+PERF+kuogopa	we have not feared	hatujaogopa
2s+PRES+kuogopa	you fear	unaogopa
2s+PAST+kuogopa	you feared	uliogopa
2s+FUT+kuogopa	you will fear	utaogopa
2s+PERF+kuogopa	you have feared	umeogopa
NEG+2s+PRES+kuogopa	you do not fear	huogopi
NEG+2s+PAST+kuogopa	you did not fear	hukuogopa
NEG+2s+FUT+kuogopa	you will not fear	hutaogopa
NEG+2s+PERF+kuogopa	you have not feared	hujaogopa
2p+PRES+kuogopa	you fear	mnaogopa
2p+PAST+kuogopa	you feared	mliogopa
2p+FUT+kuogopa	you will fear	mtaogopa
2p+PERF+kuogopa	you have feared	mmeogopa
NEG+2p+PRES+kuogopa	you do not fear	hamogopi
NEG+2p+PAST+kuogopa	you did not fear	hamkuogopa
NEG+2p+FUT+kuogopa	you will not fear	hamtaogopa
NEG+2p+PERF+kuogopa	you have not feared	hamjaogopa
3s+PRES+kuogopa	(s)he fears	anaogopa
3s+PAST+kuogopa	(s)he feared	aliogopa
3s+FUT+kuogopa	(s)he will fear	ataogopa
3s+PERF+kuogopa	(s)he has feared	ameogopa
NEG+3s+PRES+kuogopa	(s)he does not fear	haogopi
NEG+3s+PAST+kuogopa	(s)he did not fear	hakuogopa
NEG+3s+FUT+kuogopa	(s)he will not fear	hataogopa
NEG+3s+PERF+kuogopa	(s)he has not feared	hajaogopa
3p+PRES+kuogopa	they fear	wanaogopa
3p+PAST+kuogopa	they feared	waliogopa
3p+FUT+kuogopa	they will fear	wataogopa
3p+PERF+kuogopa	they have feared	wameogopa
NEG+3p+PRES+kuogopa	they do not fear	hawaogopi
NEG+3p+PAST+kuogopa	they did not fear	hawakuogopa
NEG+3p+FUT+kuogopa	they will not fear	hawataogopa
NEG+3p+PERF+kuogopa	they have not feared	hawajaogopa
2s+IMP+kuogopa	fear	ogopa
2p+IMP+kuogopa	fear	ogopeni
1s+PRES+kuomba	I request	ninaomba
1s+PAST+kuomba	I requested	niliomba
1s+FUT+kuomba	I will request	nitaomba
1s+PERF+kuomba	I have requested	nimeomba
NEG+1s+PRES+kuomba	I do not request	siombi
NEG+1s+PAST+kuomba	I did not request	sikuomba
NEG+1s+FUT+kuomba	I will not request	sitaomba
NEG+1s+PERF+kuomba	I have not requested	sijaomba
1p+PRES+kuomba	we request	tunaomba
1p+PAST+kuomba	we requested	tuliomba
1p+FUT+kuomba	we will request	tutaomba
1p+PERF+kuomba	we have requested	tumeomba
NEG+1p+PRES+kuomba	we do not request	hatuombi
NEG+1p+PAST+kuomba	we did not request	hatukuomba
NEG+1p+FUT+kuomba	we will not request	hatutaomba
NEG+1p+PERF+kuomba	we have not requested	hatujaomba
2s+PRES+kuomba	you request	unaomba
2s+PAST+kuomba	you requested	uliomba
2s+FUT+kuomba	you will request	utaomba
2s+PERF+kuomba	you have requested	umeomba
NEG+2s+PRES+kuomba	you do not request	huombi
NEG+2s+PAST+kuomba	you did not request	hukuomba
NEG+2s+FUT+kuomba	you will not request	hutaomba
NEG+2s+PERF+kuomba	you have not requested	hujaomba
2p+PRES+kuomba	you request	mnaomba
2p+PAST+kuomba	you requested	mliomba
2p+FUT+kuomba	you will request	mtaomba
2p+PERF+kuomba	you have requested	mmeomba
NEG+2p+PRES+kuomba	you do not request	hamombi
NEG+2p+PAST+kuomba	you did not request	hamkuomba
NEG+2p+FUT+kuomba	you will not request	hamtaomba
NEG+2p+PERF+kuomba	you have not requested	hamjaomba
3s+PRES+kuomba	(s)he requests	anaomba
3s+PAST+kuomba	(s)he requested	aliomba
3s+FUT+kuomba	(s)he will request	ataomba
3s+PERF+kuomba	(s)he has requested	ameomba
NEG+3s+PRES+kuomba	(s)he does not request	haombi
NEG+3s+PAST+kuomba	(s)he did not request	hakuomba
NEG+3s+FUT+kuomba	(s)he will not request	hataomba
NEG+3s+PERF+kuomba	(s)he has not requested	hajaomba
3p+PRES+kuomba	they request	wanaomba
3p+PAST+kuomba	they requested	waliomba
3p+FUT+kuomba	they will request	wataomba
3p+PERF+kuomba	they have requested	wameomba
NEG+3p+PRES+kuomba	they do not request	hawaombi
NEG+3p+PAST+kuomba	they did not request	hawakuomba
NEG+3p+FUT+kuomba	they will not request	hawataomba
NEG+3p+PERF+kuomba	they have not requested	hawajaomba
2s+IMP+kuomba	request	omba
2p+IMP+kuomba	request	ombeni
1s+PRES+kuona	I see	ninaona
1s+PAST+kuona	I saw	niliona
1s+FUT+kuona	I will see	nitaona
1s+PERF+kuona	I have seen	nimeona
NEG+1s+PRES+kuona	I do not see	sioni
NEG+1s+PAST+kuona	I did not see	sikuona
NEG+1s+FUT+kuona	I will not see	sitaona
NEG+1s+PERF+kuona	I have not seen	sijaona
1p+PRES+kuona	we see	tunaona
1p+PAST+kuona	we saw	tuliona
1p+FUT+kuona	we will see	tutaona
1p+PERF+kuona	we have seen	tumeona
NEG+1p+PRES+kuona	we do not see	hatuoni
NEG+1p+PAST+kuona	we did not see	hatukuona
NEG+1p+FUT+kuona	we will not see	hatutaona
NEG+1p+PERF+kuona	we have not seen	hatujaona
2s+PRES+kuona	you see	unaona
2s+PAST+kuona	you saw	uliona
2s+FUT+kuona	you will see	utaona
2s+PERF+kuona	you have seen	umeona
NEG+2s+PRES+kuona	you do not see	huoni
NEG+2s+PAST+kuona	you did not see	hukuona
NEG+2s+FUT+kuona	you will not see	hutaona
NEG+2s+PERF+kuona	you have not seen	hujaona
2p+PRES+kuona	you see	mnaona
2p+PAST+kuona	you saw	mliona
2p+FUT+kuona	you will see	mtaona
2p+PERF+kuona	you have seen	mmeona
NEG+2p+PRES+kuona	you do not see	hamoni
NEG+2p+PAST+kuona	you did not see	hamkuona
NEG+2p+FUT+kuona	you will not see	hamtaona
NEG+2p+PERF+kuona	you have not seen	hamjaona
3s+PRES+kuona	(s)he sees	anaona
3s+PAST+kuona	(s)he saw	aliona
3s+FUT+kuona	(s)he will see	ataona
3s+PERF+kuona	(s)he has seen	ameona
NEG+3s+PRES+kuona	(s)he does not see	haoni
NEG+3s+PAST+kuona	(s)he did not see	hakuona
NEG+3s+FUT+kuona	(s)he will not see	hataona
NEG+3s+PERF+kuona	(s)he has not seen	hajaona
3p+PRES+kuona	they see	wanaona
3p+PAST+kuona	they saw	waliona
3p+FUT+kuona	they will see	wataona
3p+PERF+kuona	they have seen	wameona
NEG+3p+PRES+kuona	they do not see	hawaoni
NEG+3p+PAST+kuona	they did not see	hawakuona
NEG+3p+FUT+kuona	they will not see	hawataona
NEG+3p+PERF+kuona	they have not seen	hawajaona
2s+IMP+kuona	see	ona
2p+IMP+kuona	see	oneni
1s+PRES+kuondoka	I depart	ninaondoka
1s+PAST+kuondoka	I departed	niliondoka
1s+FUT+kuondoka	I will depart	nitaondoka
1s+PERF+kuondoka	I have departed	nimeondoka
NEG+1s+PRES+kuondoka	I do not depart	siondoki
NEG+1s+PAST+kuondoka	I did not depart	sikuondoka
NEG+1s+FUT+kuondoka	I will not depart	sitaondoka
NEG+1s+PERF+kuondoka	I have not departed	sijaondoka
1p+PRES+kuondoka	we depart	tunaondoka
1p+PAST+kuondoka	we departed	tuliondoka
1p+FUT+kuondoka	we will depart	tutaondoka
1p+PERF+kuondoka	we have departed	tumeondoka
NEG+1p+PRES+kuondoka	we do not depart	hatuondoki
NEG+1p+PAST+kuondoka	we did not depart	hatukuondoka
NEG+1p+FUT+kuondoka	we will not depart	hatutaondoka
NEG+1p+PERF+kuondoka	we have not departed	hatujaondoka
2s+PRES+kuondoka	you depart	unaondoka
2s+PAST+kuondoka	you departed	uliondoka
2s+FUT+kuondoka	you will depart	utaondoka
2s+PERF+kuondoka	you have departed	umeondoka
NEG+2s+PRES+kuondoka	you do not depart	huondoki
NEG+2s+PAST+kuondoka	you did not depart	hukuondoka
NEG+2s+FUT+kuondoka	you will not depart	hutaondoka
NEG+2s+PERF+kuondoka	you have not departed	hujaondoka
2p+PRES+kuondoka	you depart	mnaondoka
2p+PAST+kuondoka	you departed	mliondoka
2p+FUT+kuondoka	you will depart	mtaondoka
2p+PERF+kuondoka	you have departed	mmeondoka
NEG+2p+PRES+kuondoka	you do not depart	hamondoki
NEG+2p+PAST+kuondoka	you did not depart	hamkuondoka
NEG+2p+FUT+kuondoka	you will not depart	hamtaondoka
NEG+2p+PERF+kuondoka	you have not departed	hamjaondoka
3s+PRES+kuondoka	(s)he departs	anaondoka
3s+PAST+kuondoka	(s)he departed	aliondoka
3s+FUT+kuondoka	(s)he will depart	ataondoka
3s+PERF+kuondoka	(s)he has departed	ameondoka
NEG+3s+PRES+kuondoka	(s)he does not depart	haondoki
NEG+3s+PAST+kuondoka	(s)he did not depart	hakuondoka
NEG+3s+FUT+kuondoka	(s)he will not depart	hataondoka
NEG+3s+PERF+kuondoka	(s)he has not departed	hajaondoka
3p+PRES+kuondoka	they depart	wanaondoka
3p+PAST+kuondoka	they departed	waliondoka
3p+FUT+kuondoka	they will depart	wataondoka
3p+PERF+kuondoka	they have departed	wameondoka
NEG+3p+PRES+kuondoka	they do not depart	hawaondoki
NEG+3p+PAST+kuondoka	they did not depart	hawakuondoka
NEG+3p+FUT+kuondoka	they will not depart	hawataondoka
NEG+3p+PERF+kuondoka	they have not departed	hawajaondoka
2s+IMP+kuondoka	depart	ondoka
2p+IMP+kuondoka	depart	ondokeni
1s+PRES+kuonekana	I resemble	ninaonekana
1s+PAST+kuonekana	I resembled	nilionekana
1s+FUT+kuonekana	I will resemble	nitaonekana
1s+PERF+kuonekana	I have resembled	nimeonekana
NEG+1s+PRES+kuonekana	I do not resemble	sionekani
NEG+1s+PAST+kuonekana	I did not resemble	sikuonekana
NEG+1s+FUT+kuonekana	I will not resemble	sitaonekana
NEG+1s+PERF+kuonekana	I have not resembled	sijaonekana
1p+PRES+kuonekana	we resemble	tunaonekana
1p+PAST+kuonekana	we resembled	tulionekana
1p+FUT+kuonekana	we will resemble	tutaonekana
1p+PERF+kuonekana	we have resembled	tumeonekana
NEG+1p+PRES+kuonekana	we do not resemble	hatuonekani
NEG+1p+PAST+kuonekana	we did not resemble	hatukuonekana
NEG+1p+FUT+kuonekana	we will not resemble	hatutaonekana
NEG+1p+PERF+kuonekana	we have not resembled	hatujaonekana
2s+PRES+kuonekana	you resemble	unaonekana
2s+PAST+kuonekana	you resembled	ulionekana
2s+FUT+kuonekana	you will resemble	utaonekana
2s+PERF+kuonekana	you have resembled	umeonekana
NEG+2s+PRES+kuonekana	you do not resemble	huonekani
NEG+2s+PAST+kuonekana	you did not resemble	hukuonekana
NEG+2s+FUT+kuonekana	you will not resemble	hutaonekana
NEG+2s+PERF+kuonekana	you have not resembled	hujaonekana
2p+PRES+kuonekana	you resemble	mnaonekana
2p+PAST+kuonekana	you resembled	mlionekana
2p+FUT+kuonekana	you will resemble	mtaonekana
2p+PERF+kuonekana	you have resembled	mmeonekana
NEG+2p+PRES+kuonekana	you do not resemble	hamonekani
NEG+2p+PAST+kuonekana	you did not resemble	hamkuonekana
NEG+2p+FUT+kuonekana	you will not resemble	hamtaonekana
NEG+2p+PERF+kuonekana	you have not resembled	hamjaonekana
3s+PRES+kuonekana	(s)he resembles	anaonekana
3s+PAST+kuonekana	(s)he resembled	alionekana
3s+FUT+kuonekana	(s)he will resemble	ataonekana
3s+PERF+kuonekana	(s)he has resembled	ameonekana
NEG+3s+PRES+kuonekana	(s)he does not resemble	haonekani
NEG+3s+PAST+kuonekana	(s)he did not resemble	hakuonekana
NEG+3s+FUT+kuonekana	(s)he will not resemble	hataonekana
NEG+3s+PERF+kuonekana	(s)he has not resembled	hajaonekana
3p+PRES+kuonekana	they resemble	wanaonekana
3p+PAST+kuonekana	they resembled	walionekana
3p+FUT+kuonekana	they will resemble	wataonekana
3p+PERF+kuonekana	they have resembled	wameonekana
NEG+3p+PRES+kuonekana	they do not resemble	hawaonekani
NEG+3p+PAST+kuonekana	they did not resemble	hawakuonekana
NEG+3p+FUT+kuonekana	they will not resemble	hawataonekana
NEG+3p+PERF+kuonekana	they have not resembled	hawajaonekana
2s+IMP+kuonekana	resemble	onekana
2p+IMP+kuonekana	resemble	onekaneni
1s+PRES+kuongea	I speak	ninaongea
1s+PAST+kuongea	I spoke	niliongea
1s+FUT+kuongea	I will speak	nitaongea
1s+PERF+kuongea	I have spoken	nimeongea
NEG+1s+PRES+kuongea	I do not speak	siongei
NEG+1s+PAST+kuongea	I did not speak	sikuongea
NEG+1s+FUT+kuongea	I will not speak	sitaongea
NEG+1s+PERF+kuongea	I have not spoken	sijaongea
1p+PRES+kuongea	we speak	tunaongea
1p+PAST+kuongea	we spoke	tuliongea
1p+FUT+kuongea	we will speak	tutaongea
1p+PERF+kuongea	we have spoken	tumeongea
NEG+1p+PRES+kuongea	we do not speak	hatuongei
NEG+1p+PAST+kuongea	we did not speak	hatukuongea
NEG+1p+FUT+kuongea	we will not speak	hatutaongea
NEG+1p+PERF+kuongea	we have not spoken	hatujaongea
2s+PRES+kuongea	you speak	unaongea
2s+PAST+kuongea	you spoke	uliongea
2s+FUT+kuongea	you will speak	utaongea
2s+PERF+kuongea	you have spoken	umeongea
NEG+2s+PRES+kuongea	you do not speak	huongei
NEG+2s+PAST+kuongea	you did not speak	hukuongea
NEG+2s+FUT+kuongea	you will not speak	hutaongea
NEG+2s+PERF+kuongea	you have not spoken	hujaongea
2p+PRES+kuongea	you speak	mnaongea
2p+PAST+kuongea	you spoke	mliongea
2p+FUT+kuongea	you will speak	mtaongea
2p+PERF+kuongea	you have spoken	mmeongea
NEG+2p+PRES+kuongea	you do not speak	hamongei
NEG+2p+PAST+kuongea	you did not speak	hamkuongea
NEG+2p+FUT+kuongea	you will not speak	hamtaongea
NEG+2p+PERF+kuongea	you have not spoken	hamjaongea
3s+PRES+kuongea	(s)he speaks	anaongea
3s+PAST+kuongea	(s)he spoke	aliongea
3s+FUT+kuongea	(s)he will speak	ataongea
3s+PERF+kuongea	(s)he has spoken	ameongea
NEG+3s+PRES+kuongea	(s)he does not speak	haongei
NEG+3s+PAST+kuongea	(s)he did not speak	hakuongea
NEG+3s+FUT+kuongea	(s)he will not speak	hataongea
NEG+3s+PERF+kuongea	(s)he has not spoken	hajaongea
3p+PRES+kuongea	they speak	wanaongea
3p+PAST+kuongea	they spoke	waliongea
3p+FUT+kuongea	they will speak	wataongea
3p+PERF+kuongea	they have spoken	wameongea
NEG+3p+PRES+kuongea	they do not speak	hawaongei
NEG+3p+PAST+kuongea	they did not speak	hawakuongea
NEG+3p+FUT+kuongea	they will not speak	hawataongea
NEG+3p+PERF+kuongea	they have not spoken	hawajaongea
2s+IMP+kuongea	speak	ongea
2p+IMP+kuongea	speak	ongeeni
1s+PRES+kuongeza	I add	ninaongeza
1s+PAST+kuongeza	I added	niliongeza
1s+FUT+kuongeza	I will add	nitaongeza
1s+PERF+kuongeza	I have added	nimeongeza
NEG+1s+PRES+kuongeza	I do not add	siongezi
NEG+1s+PAST+kuongeza	I did not add	sikuongeza
NEG+1s+FUT+kuongeza	I will not add	sitaongeza
NEG+1s+PERF+kuongeza	I have not added	sijaongeza
1p+PRES+kuongeza	we add	tunaongeza
1p+PAST+kuongeza	we added	tuliongeza
1p+FUT+kuongeza	we will add	tutaongeza
1p+PERF+kuongeza	we have added	tumeongeza
NEG+1p+PRES+kuongeza	we do not add	hatuongezi
NEG+1p+PAST+kuongeza	we did not add	hatukuongeza
NEG+1p+FUT+kuongeza	we will not add	hatutaongeza
NEG+1p+PERF+kuongeza	we have not added	hatujaongeza
2s+PRES+kuongeza	you add	unaongeza
2s+PAST+kuongeza	you added	uliongeza
2s+FUT+kuongeza	you will add	utaongeza
2s+PERF+kuongeza	you have added	umeongeza
NEG+2s+PRES+kuongeza	you do not add	huongezi
NEG+2s+PAST+kuongeza	you did not add	hukuongeza
NEG+2s+FUT+kuongeza	you will not add	hutaongeza
NEG+2s+PERF+kuongeza	you have not added	hujaongeza
2p+PRES+kuongeza	you add	mnaongeza
2p+PAST+kuongeza	you added	mliongeza
2p+FUT+kuongeza	you will add	mtaongeza
2p+PERF+kuongeza	you have added	mmeongeza
NEG+2p+PRES+kuongeza	you do not add	hamongezi
NEG+2p+PAST+kuongeza	you did not add	hamkuongeza
NEG+2p+FUT+kuongeza	you will not add	hamtaongeza
NEG+2p+PERF+kuongeza	you have not added	hamjaongeza
3s+PRES+kuongeza	(s)he adds	anaongeza
3s+PAST+kuongeza	(s)he added	aliongeza
3s+FUT+kuongeza	(s)he will add	ataongeza
3s+PERF+kuongeza	(s)he has added	ameongeza
NEG+3s+PRES+kuongeza	(s)he does not add	haongezi
NEG+3s+PAST+kuongeza	(s)he did not add	hakuongeza
NEG+3s+FUT+kuongeza	(s)he will not add	hataongeza
NEG+3s+PERF+kuongeza	(s)he has not added	hajaongeza
3p+PRES+kuongeza	they add	wanaongeza
3p+PAST+kuongeza	they added	waliongeza
3p+FUT+kuongeza	they will add	wataongeza
3p+PERF+kuongeza	they have added	wameongeza
NEG+3p+PRES+kuongeza	they do not add	hawaongezi
NEG+3p+PAST+kuongeza	they did not add	hawakuongeza
NEG+3p+FUT+kuongeza	they will not add	hawataongeza
NEG+3p+PERF+kuongeza	they have not added	hawajaongeza
2s+IMP+kuongeza	add	ongeza
2p+IMP+kuongeza	add	ongezeni
1s+PRES+kuonja	I taste	ninaonja
1s+PAST+kuonja	I tasted	nilionja
1s+FUT+kuonja	I will taste	nitaonja
1s+PERF+kuonja	I have tasted	nimeonja
NEG+1s+PRES+kuonja	I do not taste	sionji
NEG+1s+PAST+kuonja	I did not taste	sikuonja
NEG+1s+FUT+kuonja	I will not taste	sitaonja
NEG+1s+PERF+kuonja	I have not tasted	sijaonja
1p+PRES+kuonja	we taste	tunaonja
1p+PAST+kuonja	we tasted	tulionja
1p+FUT+kuonja	we will taste	tutaonja
1p+PERF+kuonja	we have tasted	tumeonja
NEG+1p+PRES+kuonja	we do not taste	hatuonji
NEG+1p+PAST+kuonja	we did not taste	hatukuonja
NEG+1p+FUT+kuonja	we will not taste	hatutaonja
NEG+1p+PERF+kuonja	we have not tasted	hatujaonja
2s+PRES+kuonja	you taste	unaonja
2s+PAST+kuonja	you tasted	ulionja
2s+FUT+kuonja	you will taste	utaonja
2s+PERF+kuonja	you have tasted	umeonja
NEG+2s+PRES+kuonja	you do not taste	huonji
NEG+2s+PAST+kuonja	you did not taste	hukuonja
NEG+2s+FUT+kuonja	you will not taste	hutaonja
NEG+2s+PERF+kuonja	you have not tasted	hujaonja
2p+PRES+kuonja	you taste	mnaonja
2p+PAST+kuonja	you tasted	mlionja
2p+FUT+kuonja	you will taste	mtaonja
2p+PERF+kuonja	you have tasted	mmeonja
NEG+2p+PRES+kuonja	you do not taste	hamonji
NEG+2p+PAST+kuonja	you did not taste	hamkuonja
NEG+2p+FUT+kuonja	you will not taste	hamtaonja
NEG+2p+PERF+kuonja	you have not tasted	hamjaonja
3s+PRES+kuonja	(s)he tastes	anaonja
3s+PAST+kuonja	(s)he tasted	alionja
3s+FUT+kuonja	(s)he will taste	ataonja
3s+PERF+kuonja	(s)he has tasted	ameonja
NEG+3s+PRES+kuonja	(s)he does not taste	haonji
NEG+3s+PAST+kuonja	(s)he did not taste	hakuonja
NEG+3s+FUT+kuonja	(s)he will not taste	hataonja
NEG+3s+PERF+kuonja	(s)he has not tasted	hajaonja
3p+PRES+kuonja	they taste	wanaonja
3p+PAST+kuonja	they tasted	walionja
3p+FUT+kuonja	they will taste	wataonja
3p+PERF+kuonja	they have tasted	wameonja
NEG+3p+PRES+kuonja	they do not taste	hawaonji
NEG+3p+PAST+kuonja	they did not taste	hawakuonja
NEG+3p+FUT+kuonja	they will not taste	hawataonja
NEG+3p+PERF+kuonja	they have not tasted	hawajaonja
2s+IMP+kuonja	taste	onja
2p+IMP+kuonja	taste	onjeni
1s+PRES+kuonyesha	I show	ninaonyesha
1s+PAST+kuonyesha	I showed	nilionyesha
1s+FUT+kuonyesha	I will show	nitaonyesha
1s+PERF+kuonyesha	I have shown	nimeonyesha
NEG+1s+PRES+kuonyesha	I do not show	sionyeshi
NEG+1s+PAST+kuonyesha	I did not show	sikuonyesha
NEG+1s+FUT+kuonyesha	I will not show	sitaonyesha
NEG+1s+PERF+kuonyesha	I have not shown	sijaonyesha
1p+PRES+kuonyesha	we show	tunaonyesha
1p+PAST+kuonyesha	we showed	tulionyesha
1p+FUT+kuonyesha	we will show	tutaonyesha
1p+PERF+kuonyesha	we have shown	tumeonyesha
NEG+1p+PRES+kuonyesha	we do not show	hatuonyeshi
NEG+1p+PAST+kuonyesha	we did not show	hatukuonyesha
NEG+1p+FUT+kuonyesha	we will not show	hatutaonyesha
NEG+1p+PERF+kuonyesha	we have not shown	hatujaonyesha
2s+PRES+kuonyesha	you show	unaonyesha
2s+PAST+kuonyesha	you showed	ulionyesha
2s+FUT+kuonyesha	you will show	utaonyesha
2s+PERF+kuonyesha	you have shown	umeonyesha
NEG+2s+PRES+kuonyesha	you do not show	huonyeshi
NEG+2s+PAST+kuonyesha	you did not show	hukuonyesha
NEG+2s+FUT+kuonyesha	you will not show	hutaonyesha
NEG+2s+PERF+kuonyesha	you have not shown	hujaonyesha
2p+PRES+kuonyesha	you show	mnaonyesha
2p+PAST+kuonyesha	you showed	mlionyesha
2p+FUT+kuonyesha	you will show	mtaonyesha
2p+PERF+kuonyesha	you have shown	mmeonyesha
NEG+2p+PRES+kuonyesha	you do not show	hamonyeshi
NEG+2p+PAST+kuonyesha	you did not show	hamkuonyesha
NEG+2p+FUT+kuonyesha	you will not show	hamtaonyesha
NEG+2p+PERF+kuonyesha	you have not shown	hamjaonyesha
3s+PRES+kuonyesha	(s)he shows	anaonyesha
3s+PAST+kuonyesha	(s)he showed	alionyesha
3s+FUT+kuonyesha	(s)he will show	ataonyesha
3s+PERF+kuonyesha	(s)he has shown	ameonyesha
NEG+3s+PRES+kuonyesha	(s)he does not show	haonyeshi
NEG+3s+PAST+kuonyesha	(s)he did not show	hakuonyesha
NEG+3s+FUT+kuonyesha	(s)he will not show	hataonyesha
NEG+3s+PERF+kuonyesha	(s)he has not shown	hajaonyesha
3p+PRES+kuonyesha	they show	wanaonyesha
3p+PAST+kuonyesha	they showed	walionyesha
3p+FUT+kuonyesha	they will show	wataonyesha
3p+PERF+kuonyesha	they have shown	wameonyesha
NEG+3p+PRES+kuonyesha	they do not show	hawaonyeshi
NEG+3p+PAST+kuonyesha	they did not show	hawakuonyesha
NEG+3p+FUT+kuonyesha	they will not show	hawataonyesha
NEG+3p+PERF+kuonyesha	they have not shown	hawajaonyesha
2s+IMP+kuonyesha	show	onyesha
2p+IMP+kuonyesha	show	onyesheni
1s+PRES+kuosha	I wash	ninaosha
1s+PAST+kuosha	I washed	niliosha
1s+FUT+kuosha	I will wash	nitaosha
1s+PERF+kuosha	I have washed	nimeosha
NEG+1s+PRES+kuosha	I do not wash	sioshi
NEG+1s+PAST+kuosha	I did not wash	sikuosha
NEG+1s+FUT+kuosha	I will not wash	sitaosha
